料品,品名,库位,批号,出,入
101104-01,金太粮有机米1,4AH0,200912046,1.0,0.0
101104-55,金太粮有机米2.5,4AH0,200922044,0.0,1.0
101104-55,金太粮有机米2.5,4AH0,200929107,1.0,0.0
101104-85,金太粮有机米2.5*5,4A00,200929107,0.0,40.0
101104-85,金太粮有机米2.5*5,4A00,201019103,40.0,0.0
101101-05,金太粮油粘王5,4AP2,200926015,1.0,0.0
101101-05,金太粮油粘王5,4AH0,200929014-03,0.0,1.0
101101-35,金太粮油粘王5*5,4AP1,201024016,0.0,28.0
101101-35,金太粮油粘王5*5,3A00,201113008,28.0,0.0
104101-31,金稻鱼太粮家乐米1*25,4AH1,201024015,0.0,2.0
104101-31,金稻鱼太粮家乐米1*25,3A01,201111014,1.0,0.0
104101-31,金稻鱼太粮家乐米1*25,3A03,201111014,1.0,0.0
104101-10,金稻鱼太粮家乐米10,4A07,201013017,0.0,16.0
104101-10,金稻鱼太粮家乐米10,4A07,201028037,0.0,100.0
104101-10,金稻鱼太粮家乐米10,4A07,201031037,116.0,0.0
104101-25,金稻鱼太粮家乐米25,4AH5,201006008,0.0,98.0
104101-25,金稻鱼太粮家乐米25,4A02,201017023,98.0,0.0
105808-10,餐乐香米10,3A09,201009010,8.0,0.0
105808-10,餐乐香米10,4AH2,201030040,0.0,8.0
105808-25,餐乐香米25,4A00,201106011,0.0,281.0
105808-25,餐乐香米25,4B01,201106011,0.0,25.0
105808-25,餐乐香米25,4A01,201111002,306.0,0.0
107003-10,香雪珍珠米10,4AH2,201026027,0.0,31.0
107003-10,香雪珍珠米10,4AH2,201103015,31.0,0.0
103916-35,马坝银粘米5*5,4A00,201021034,0.0,15.0
103916-35,马坝银粘米5*5,4A00,201029037,0.0,12.0
103916-35,马坝银粘米5*5,4A00,201101001,3.0,0.0
103916-35,马坝银粘米5*5,4A00,201106010,24.0,0.0
101201-15,马坝龙五星油粘米15,4AH3,201027028,0.0,24.0
101201-15,马坝龙五星油粘米15,4A08,201031033,24.0,0.0
101201-05,马坝龙五星油粘米5,4AH0,200821011,0.0,1.0
101201-05,马坝龙五星油粘米5,4AH0,201031033,1.0,0.0
150107-10,鸣象（丝苗）米10,4B02,201030033,444.0,0.0
150107-10,鸣象（丝苗）米10,4A06,201102003,0.0,444.0
150107-35,鸣象（丝苗）米5*5,4AH0,201107008,0.0,1.0
150107-35,鸣象（丝苗）米5*5,3A00,201111012,1.0,0.0
150101-10,鸣象（尊桂）油粘米10,4A06,201024002,0.0,392.0
150101-10,鸣象（尊桂）油粘米10,4B01,201029043,373.0,0.0
150101-10,鸣象（尊桂）油粘米10,4A07,201104002,19.0,0.0
150101-15,鸣象（尊桂）油粘米15,4BH0,201106005,10.0,0.0
150101-15,鸣象（尊桂）油粘米15,4A07,201110004,0.0,10.0
150101-35,鸣象（尊桂）油粘米5*5,3AP1,200914092,27.0,0.0
150101-35,鸣象（尊桂）油粘米5*5,3A04,200914093,0.0,366.0
150101-35,鸣象（尊桂）油粘米5*5,3A05,201003004,89.0,0.0
150101-35,鸣象（尊桂）油粘米5*5,3A08,201003004,648.0,0.0
150101-35,鸣象（尊桂）油粘米5*5,3A02,201006103,0.0,570.0
150101-35,鸣象（尊桂）油粘米5*5,4A06,201011036,0.0,98.0
150101-35,鸣象（尊桂）油粘米5*5,4A06,201011038,270.0,0.0
103902-25,鹰嘴香中国香米25,4AH4,201027032,0.0,63.0
103902-25,鹰嘴香中国香米25,4A01,201031039,63.0,0.0
103902-25,鹰嘴香中国香米25,4B01,201031039,2.0,0.0
103902-25,鹰嘴香中国香米25,4AH4,201105007,0.0,2.0
180113-74,黄豆0.4*30,4A00,200825065,22.0,0.0
180113-74,黄豆0.4*30,4AH0,200825065,1.0,0.0
180113-74,黄豆0.4*30,4AH1,201102054,0.0,23.0
180115-74,黑米0.4*30,4B04,200811047,10.0,0.0
180115-74,黑米0.4*30,4A00,200908101,0.0,25.0
180115-74,黑米0.4*30,4A00,200908105,15.0,0.0
101313-15,（促销）散装太粮靓虾王15,4A04,201104001,0.0,172.0
101313-15,（促销）散装太粮靓虾王15,4A05,201110001,0.0,15.0
101313-15,（促销）散装太粮靓虾王15,4A02,201113005,187.0,0.0
101308-01,（信鲜）靓虾王香软米1,4AH0,200915019,0.0,5.0
101308-01,（信鲜）靓虾王香软米1,4AH0,201020028-01,5.0,0.0
101308-10,（信鲜）靓虾王香软米10,4A03,201104004,0.0,124.0
101308-10,（信鲜）靓虾王香软米10,4B01,201104004,0.0,320.0
101308-10,（信鲜）靓虾王香软米10,4BH0,201104004,0.0,25.0
101308-10,（信鲜）靓虾王香软米10,4A03,201105003,469.0,0.0
101308-15,（信鲜）靓虾王香软米15,4AH3,201030035,0.0,38.0
101308-15,（信鲜）靓虾王香软米15,4A05,201106010,38.0,0.0
101308-25,（信鲜）靓虾王香软米25,4A04,201101001,0.0,75.0
101308-25,（信鲜）靓虾王香软米25,4B01,201101001,0.0,85.0
101308-25,（信鲜）靓虾王香软米25,4B02,201103007,90.0,0.0
101308-25,（信鲜）靓虾王香软米25,4A02,201105003,0.0,170.0
101308-25,（信鲜）靓虾王香软米25,4A09,201106010,240.0,0.0
101308-35,（信鲜）靓虾王香软米5*5,4A00,201023025,0.0,27.0
101308-35,（信鲜）靓虾王香软米5*5,4B03,201103007,27.0,0.0
170104-25,（宜客）食堂大米25,4B01,201101005,5.0,0.0
170104-25,（宜客）食堂大米25,4A03,201106011,0.0,5.0
101314-10,（抖音）信鲜靓虾王香软米10,4B03,200930007,464.0,0.0
101314-10,（抖音）信鲜靓虾王香软米10,4A03,201103003,0.0,174.0
101314-10,（抖音）信鲜靓虾王香软米10,4B02,201104001,432.0,0.0
101314-10,（抖音）信鲜靓虾王香软米10,4A03,201105011,0.0,689.0
101314-10,（抖音）信鲜靓虾王香软米10,4AP6,201105011,0.0,33.0
100603-05,（橙色）新版曼哈浓香泰国香米5,4AH0,200925005,1.0,0.0
100603-05,（橙色）新版曼哈浓香泰国香米5,4AH0,200927001,0.0,1.0
100502-35,（橙色）柬埔寨茉莉香米5*5,3A00,200617002,0.0,30.0
100502-35,（橙色）柬埔寨茉莉香米5*5,3AP1,200620003,30.0,0.0
101402-25,（橙）散装米皇坊小农粘米25,4B02,200926006,65.0,0.0
101402-25,（橙）散装米皇坊小农粘米25,4A04,201028034,0.0,91.0
101402-25,（橙）散装米皇坊小农粘米25,4A04,201106007,26.0,0.0
101601-10,（米酷）马坝银粘10,4B02,201106003,57.0,0.0
101601-10,（米酷）马坝银粘10,4A06,201109001,0.0,54.0
101601-10,（米酷）马坝银粘10,4A06,201112008,0.0,565.0
101601-10,（米酷）马坝银粘10,4A04,201113004,562.0,0.0
101601-25,（米酷）马坝银粘25,4A01,201107004,0.0,10.0
101601-25,（米酷）马坝银粘25,4A08,201110002,0.0,50.0
101601-25,（米酷）马坝银粘25,4A01,201112008,0.0,140.0
101601-25,（米酷）马坝银粘25,4A01,201114004,200.0,0.0
101306-10,（红香）靓虾王米10,4A09,201104001,0.0,160.0
101306-10,（红香）靓虾王米10,4B01,201112002,0.0,86.0
101306-10,（红香）靓虾王米10,4B01,201113005,346.0,0.0
101306-10,（红香）靓虾王米10,4B01,201113013,0.0,260.0
101306-10,（红香）靓虾王米10,4A02,201114002,160.0,0.0
101306-25,（红香）靓虾王米25,4AH5,201031034,0.0,15.0
101306-25,（红香）靓虾王米25,4AH5,201103003,0.0,8.0
101306-25,（红香）靓虾王米25,4AH4,201104001,23.0,0.0
101306-35,（红香）靓虾王米5*5,4A00,201021028,1.0,0.0
101306-35,（红香）靓虾王米5*5,4A00,201028035,8.0,0.0
101306-35,（红香）靓虾王米5*5,4A05,201110001,0.0,55.0
101306-35,（红香）靓虾王米5*5,4A00,201111010,0.0,899.0
101306-35,（红香）靓虾王米5*5,4B03,201114002,945.0,0.0
101302-10,（经典）靓虾王香软米10,4B01,201015020,61.0,0.0
101302-10,（经典）靓虾王香软米10,3A09,201020034,31.0,0.0
101302-10,（经典）靓虾王香软米10,4A02,201112006,0.0,92.0
100602-35,（蓝）曼哈浓香泰粮进口茉莉香米5*5,4A00,201029056,0.0,6.0
100602-35,（蓝）曼哈浓香泰粮进口茉莉香米5*5,4A00,201103002,6.0,0.0
101303-10,（靓虾）软米10,3A04,201103026,144.0,0.0
101303-10,（靓虾）软米10,4B01,201104050,0.0,960.0
101303-10,（靓虾）软米10,4B02,201105010,4256.0,0.0
101303-10,（靓虾）软米10,3A04,201105047,1454.0,0.0
101303-10,（靓虾）软米10,4A04,201107011,0.0,530.0
101303-10,（靓虾）软米10,4A02,201108007,0.0,2800.0
101303-10,（靓虾）软米10,4A03,201111007,0.0,64.0
101303-10,（靓虾）软米10,4AP5,201111007,0.0,820.0
101303-10,（靓虾）软米10,4A04,201111034,0.0,680.0
103906-10,（鲜仔）五星丝苗米10,4AH2,200820001,0.0,4.0
103906-10,（鲜仔）五星丝苗米10,4AH2,201105011,4.0,0.0
